siteyear.x,Yieldtha_1
USBDA2015,11
USBDA2016,9.5
USBDC2015,10.8
USBDC2016,8.4
USHRA2015,9.7
USHRA2016,11
USHRA2017,10.6
USHRC2015,9.3
USHRC2016,11
USHRC2017,9.8
USOF12017,9.9
USOF22017,9.9
USOF32017,10.3
USOF42018,8.7
USOF52018,9.9
USOF62018,10.5
